userId,install_date,registration_date,gender,followings,media_source
633b273f94c9c82f2a4a935e,2022-10-03,2022-10-03,iPreferNotToSay,,Organic
6331463d3750b151715b8bca,2022-09-26,2022-09-26,iPreferNotToSay,20,bytedanceglobal_int
6339b3f708aa4f2581acf38e,2022-10-02,2022-10-02,iPreferNotToSay,,Organic
63399a5508aa4f2581acecf5,2022-10-02,,iPreferNotToSay,,Organic
6337b7b194c9c82f2a499725,2022-10-01,2022-10-08,iPreferNotToSay,,Organic
6337e54008aa4f2581ac7b3f,2022-10-01,2022-10-01,male,11,Organic
6324823df4d17a98fc302e9d,2022-09-16,2022-10-02,iPreferNotToSay,1,Organic
62aa98c0c111040cb6dc5519,2022-06-16,2022-06-18,male,248,Organic
62a0a922f5953bd13457132f,2022-06-08,2022-06-15,iPreferNotToSay,15,Organic
633959c394c9c82f2a4a16f0,2022-10-02,,iPreferNotToSay,,Organic
63399c0594c9c82f2a4a2577,2022-10-02,2022-10-02,female,23,bytedanceglobal_int
629487d9030120047f3a85ee,2022-05-30,2022-06-05,male,46,Facebook Ads
6339d8d608aa4f2581ad0060,2022-10-02,2022-10-02,iPreferNotToSay,,bytedanceglobal_int
626a4109bb5d760099df99e1,2022-04-28,2022-04-28,female,32,bytedanceglobal_int
6337a59f08aa4f2581ac6b23,2022-10-01,2022-10-01,male,,Facebook Ads
6337ca9694c9c82f2a499bd9,2022-10-01,2022-10-01,male,,Organic
632d778bdb772193ded6121f,2022-09-23,2023-05-01,iPreferNotToSay,,Organic
63258236fafcf1cfd31edf52,2022-09-17,,iPreferNotToSay,,Organic
63171f7bf613bebb33b7ae9d,2022-09-06,2022-11-25,iPreferNotToSay,12,Organic
62cbdeadf902a1f77a9b4ba8,2022-07-11,2022-07-11,iPreferNotToSay,624,googleadwords_int
6338ab2b94c9c82f2a49d674,2022-10-01,2022-10-01,male,,bytedanceglobal_int
63396ce008aa4f2581ace1b2,2022-10-02,2022-10-02,iPreferNotToSay,,bytedanceglobal_int
63391e8494c9c82f2a4a070a,2022-10-02,2022-10-02,male,13,Organic
